0¦OTHER¦1581416579517¦1581416579625¦1581416580506¦1581416579517¦1581416579625¦1581416579625¦ d¦Vlad10,Adam;¦ ⁰  ¹⁰⁸d¦ d¦
0¦SELF¦1581416579645¦1581416579705¦1581416580587¦1581416579645¦1581416579705¦1581416579705¦is¦Vlad10,Adam;¦ ⁰i ⁶⁰s¦is¦
0¦OTHER¦1581416579743¦1581416579743¦1581416580625¦1581416579743¦1581416579743¦1581416579743¦o¦Vlad10,Adam;¦ ⁰o¦o¦
0¦SELF¦1581416579805¦1581416579805¦1581416580686¦1581416579805¦1581416579805¦1581416579805¦ ¦Vlad10,Adam;¦ ⁰ ¦ ¦
0¦OTHER¦1581416579864¦1581416579864¦1581416580746¦1581416579864¦1581416579864¦1581416579864¦c¦Vlad10,Adam;¦ ⁰c¦c¦
0¦SELF¦1581416579946¦1581416579989¦1581416580870¦1581416579946¦1581416579989¦1581416579989¦no¦Vlad10,Adam;¦ ⁰n ⁴³o¦no¦
0¦OTHER¦1581416580093¦1581416580093¦1581416580975¦1581416580093¦1581416580093¦1581416580093¦t¦Vlad10,Adam;¦ ⁰t¦t¦
0¦SELF¦1581416580104¦1581416580178¦1581416581059¦1581416580104¦1581416580178¦1581416580178¦t ¦Vlad10,Adam;¦ ⁰t ⁷⁴ ¦t ¦
0¦OTHER¦1581416580221¦1581416580221¦1581416581142¦1581416580221¦1581416580221¦1581416580221¦o¦Vlad10,Adam;¦ ⁰o¦o¦
0¦SELF¦1581416580265¦1581416580265¦1581416581144¦1581416580265¦1581416580265¦1581416580265¦t¦Vlad10,Adam;¦ ⁰t¦t¦
0¦OTHER¦1581416580317¦1581416580317¦1581416581198¦1581416580317¦1581416580317¦1581416580317¦r¦Vlad10,Adam;¦ ⁰r¦r¦
0¦SELF¦1581416580333¦1581416585146¦1581416586028¦1581416580333¦1581416585146¦1581416585146¦he only onethe doctor?¦Vlad10,Adam;¦ ⁰h ⁸⁸e ⁶¹  ¹⁵⁴o ³²n ¹⁵³l ⁹⁹y ¹⁴³  ⁸⁰o ⁵²n ¹³³e ²⁸⁶⁹t ⁶⁸h ⁸²e ¹⁰⁸  ⁶⁹d ⁹⁰o ⁶⁰c ¹⁴⁴t ⁵⁹o ¹⁰¹r ¹⁶⁸?¦he only one▅▅the doctor?¦
0¦OTHER¦1581416586427¦1581416597456¦1581416598337¦1581416586427¦1581416597456¦1581416597456¦yeah, last onethe reasearch methadology might suck, so he kills lot¦Vlad10,Adam;¦ ⁰y ¹⁵e ⁶⁸a ²²⁴h ⁴¹⁰, ¹⁰⁹  ¹⁹⁸l ⁷¹a ⁴⁷s ¹⁸⁹t ⁶⁴  ²⁴⁴o ²⁰²n ⁵⁰e ⁹⁷⁶t ³¹h ¹²⁵e ⁹⁵  ²⁶¹r ⁰e ⁶⁶a ²⁴⁶s ⁸³e ⁹¹a ²³¹r ⁴⁹c ¹⁵⁵h ¹⁴⁰  ¹⁶⁸m ⁸⁵e ²²⁰t ⁵⁴h ¹¹⁴a ¹⁷⁴d ¹⁰⁴o ²⁷⁴l ⁹³o ²¹¹g ⁸¹y ²²⁸  ³⁰⁸m ⁵¹³i ⁹²g ¹⁰⁸h ¹⁰⁸t ⁹⁵  ²¹⁰s ³⁵u ⁴⁷⁷c ¹⁰⁶k ³⁰³, ²⁰⁵  ²⁰⁵s ¹⁹o ¹⁸⁵  ⁴¹⁰h ⁴⁸e ⁶⁵  ¹⁹⁵k ²⁰⁴i ²⁰⁵l ⁶⁶l ¹¹²s ⁹¹  ¹⁴¹l ²⁰⁴o ⁷³t¦yeah, last onethe reasearch methadology might suck, so he kills lot¦
