0¦SELF¦1581416600700¦1581416600852¦1581416600855¦1581416600700¦1581416600852¦1581416600852¦tea¦Vlad11,Nikolai;¦ ⁰t ⁷⁶e ⁷⁶a¦tea¦
0¦OTHER¦1581416600857¦1581416600971¦1581416600975¦1581416600857¦1581416600971¦1581416600971¦t ¦Vlad11,Nikolai;¦ ⁰t ¹¹⁴ ¦t ¦
0¦SELF¦1581416601005¦1581416601005¦1581416601008¦1581416601005¦1581416601005¦1581416601005¦d¦Vlad11,Nikolai;¦ ⁰d¦d¦
0¦OTHER¦1581416601102¦1581416607804¦1581416607807¦1581416601102¦1581416607804¦1581416607804¦least trying to do something essential for the worls, doesn''' he?¦Vlad11,Nikolai;¦ ⁰l ⁷⁰e ⁸⁰a ¹³⁹s ⁸⁴t ⁶⁸  ³⁰²t ⁷³r ⁹⁰y ¹⁴⁵i ⁶⁷n ⁹⁴g ¹⁰⁰  ⁷²t ¹⁰⁶o ⁶⁵  ¹⁸¹d ⁵¹o ¹¹³  ¹¹²s ⁶⁶o ²⁷m ¹¹¹e ¹⁶¹t ¹⁴h ⁸¹i ⁸²n ⁷⁹g ¹⁰⁵  ⁹⁷e ¹⁶²s ¹⁶⁹s ¹⁵¹e ¹⁰⁹n ¹⁰⁹t ⁷⁶i ⁷⁷a ⁸⁸l ⁶⁷  ¹²¹f ⁷⁵o ⁹⁵r ¹²⁴  ³⁴t ¹⁴⁴h ⁶⁴e ¹³⁷  ²²²w ²³o ⁷⁶r ⁹¹l ³⁰³s ¹¹⁶, ¹⁷⁰  ¹¹⁹d ⁸⁰o ⁸³e ⁸⁶s ²⁵n ¹²⁹' ¹⁰⁰' ⁴' ¹⁰¹  ¹¹⁸h ⁷⁹e ¹⁴⁰?¦least trying to do something essential for the worls, doesn''' he?¦
0¦SELF¦1581416609116¦1581416616732¦1581416616735¦1581416609116¦1581416616732¦1581416616732¦well maybe, but he might also do te most harm of them¦Vlad11,Nikolai;¦ ⁰w ⁷⁶e ¹⁴⁹l ¹³⁶l ¹²³  ¹⁵⁸m ¹³⁵a ¹¹³y ¹⁹⁵b ¹⁰⁹e ¹⁴¹, ¹⁴³  ⁴¹²b ¹⁸¹u ¹⁵⁰t ⁷²  ¹⁸⁹h ¹⁴²e ⁴⁵¹  ²³³m ¹⁹⁵i ¹⁵⁰g ⁷²h ¹²⁸t ¹³⁷  ¹⁴⁹a ¹⁶⁵l ¹²¹s ⁹⁴o ¹⁴⁶  ¹¹⁵d ⁹⁴o ¹²⁹  ⁷⁶t ²¹⁶e ⁵²  ¹⁴⁵m ¹⁴²o ⁹⁶s ¹⁴⁰t ⁸⁸  ¹⁹¹h ¹⁰²a ¹⁹⁶r ²⁶⁸m ¹³³  ¹⁵⁶o ⁹⁹f ⁹⁵  ¹¹⁷t ⁹²h ¹³⁰e ⁷⁹m¦well maybe, but he might also do te most harm of them¦
0¦OTHER¦1581416620790¦1581416625621¦1581416625624¦1581416620790¦1581416625621¦1581416625621¦no succcess comes without a risk =P¦Vlad11,Nikolai;¦ ⁰n ³o ⁴⁹  ¹⁵¹s ⁶⁹u ¹⁰⁰c ¹⁴⁸c ⁹⁴c ²⁷e ⁸⁴s ²⁰⁶s ⁵⁰²  ¹¹⁷c ⁸¹o ³⁶m ⁵⁸⁴e ⁸⁵s ¹⁶⁸  ⁹⁹w ¹⁰³i ⁷⁷t ⁷⁴h ¹²⁹o ⁶⁵u ¹³⁶t ⁷⁰³  ⁵⁶a ⁸¹  ¹¹¹r ⁷¹i ⁸⁹s ⁸³k ¹⁶⁰  ¹⁷⁰= ¹²⁰P¦no succcess comes without a risk =P¦
0¦SELF¦1581416627423¦1581416638327¦1581416638330¦1581416627423¦1581416638327¦1581416638327¦true, but the others doesnt matterso might aswell keep them alive¦Vlad11,Nikolai;¦ ⁰t ¹⁴⁵r ¹⁰⁹u ¹⁷²e ⁴⁰², ³⁴⁵  ⁵³⁶b ¹⁹⁶u ¹⁵⁰t ⁷²  ¹³⁰t ⁸⁹h ¹⁴⁹e ¹⁰⁶  ¹⁵¹o ⁹²t ¹⁵⁸h ⁸⁰e ¹⁰⁸r ²²⁸s ²⁸⁸  ¹⁹⁰d ¹³²o ⁹³e ¹⁰⁰s ¹¹²n ¹³³t ⁸³  ¹⁶¹m ⁶⁸a ¹⁹⁰t ¹⁴¹t ¹⁰²e ⁸⁵r ¹⁷³⁵s ¹³⁴o ¹³⁶  ¹⁸⁰m ²⁰⁵i ¹⁰⁰g ¹¹⁷h ⁹⁴t ⁹⁹  ¹²²a ¹⁰⁰s ¹⁹²w ¹⁶⁷e ¹¹⁹l ¹³²l ¹³²  ¹³⁸k ¹¹⁵e ¹⁵⁹e ⁹⁶p ¹²⁸  ⁷⁵t ¹¹²h ¹²¹e ⁹⁰m ¹²⁸  ⁸⁷a ¹¹⁹l ¹⁷⁴i ²⁰⁸v ⁹⁴e¦true, but the others doesnt matter▅so might aswell keep them alive¦
0¦OTHER¦1581416639528¦1581416644151¦1581416644154¦1581416639528¦1581416644151¦1581416644151¦maybe swe should kill someone else?¦Vlad11,Nikolai;¦ ⁰m ⁷⁸a ⁷⁵y ³³b ⁶³³e ¹⁰⁴  ⁹⁰s ⁵²³w ¹⁷e ¹⁵⁸  ⁷⁴⁷s ²⁸h ¹²⁴o ⁵⁸u ¹²⁶l ⁷⁴d ¹¹⁵  ¹⁶¹k ⁸⁰i ⁶¹l ⁹³l ⁸³  ⁸²s ⁸³o ⁴⁷m ¹⁰⁵e ⁹²o ⁵³n ¹¹³e ⁶⁷  ¹³¹e ⁹⁴l ⁵⁶s ⁸⁹e ¹⁵⁰?¦maybe swe should kill someone else?¦
0¦SELF¦1581416646007¦1581416649142¦1581416649146¦1581416646007¦1581416649142¦1581416649142¦we could roll a die haha¦Vlad11,Nikolai;¦ ⁰w ⁵³e ¹⁷⁹  ¹⁴⁶c ¹⁴⁹o ²⁰²u ²⁰⁶l ⁸⁸d ¹¹²  ¹⁰³r ⁹¹o ¹⁸⁸l ¹³¹l ¹⁵²  ¹²⁴a ¹²⁰  ⁹⁶d ¹²⁷i ¹²⁷e ¹⁵⁶  ²⁸⁷h ⁹⁴a ¹¹²h ⁹²a¦we could roll a die haha¦
0¦OTHER¦1581416651962¦1581416653147¦1581416653151¦1581416651962¦1581416653147¦1581416653147¦seems fair!¦Vlad11,Nikolai;¦ ⁰s ⁵⁹e ¹⁴²e ⁸²m ¹⁰⁹s ¹³⁵  ¹²⁴f ⁴⁰a ¹⁰⁴i ¹³¹r ²⁵⁹!¦seems fair!¦
